"ID";"Rijbewijscategorie";"LeeftijdRijbewijshouder";"RegioS";"Perioden";"PersonenMetRijbewijs_1"
"66";"A028200";"10000";"PV20  ";"2014JJ00";"367538"
"67";"A028200";"10000";"PV20  ";"2015JJ00";"370259"
"68";"A028200";"10000";"PV20  ";"2016JJ00";"372564"
"69";"A028200";"10000";"PV20  ";"2017JJ00";"374092"
"70";"A028200";"10000";"PV20  ";"2018JJ00";"374853"
"71";"A028200";"10000";"PV20  ";"2019JJ00";"376409"
"72";"A028200";"10000";"PV20  ";"2020JJ00";"378929"
"73";"A028200";"10000";"PV20  ";"2021JJ00";"382684"
"74";"A028200";"10000";"PV20  ";"2022JJ00";"381943"
"75";"A028200";"10000";"PV20  ";"2023JJ00";"383411"
"76";"A028200";"10000";"PV20  ";"2024JJ00";"388270"
"77";"A028200";"10000";"PV21  ";"2014JJ00";"414584"
"78";"A028200";"10000";"PV21  ";"2015JJ00";"417693"
"79";"A028200";"10000";"PV21  ";"2016JJ00";"420916"
"80";"A028200";"10000";"PV21  ";"2017JJ00";"423205"
"81";"A028200";"10000";"PV21  ";"2018JJ00";"426030"
"82";"A028200";"10000";"PV21  ";"2019JJ00";"429403"
"83";"A028200";"10000";"PV21  ";"2020JJ00";"433554"
"84";"A028200";"10000";"PV21  ";"2021JJ00";"438323"
"85";"A028200";"10000";"PV21  ";"2022JJ00";"439088"
"86";"A028200";"10000";"PV21  ";"2023JJ00";"442244"
"87";"A028200";"10000";"PV21  ";"2024JJ00";"445415"
"88";"A028200";"10000";"PV22  ";"2014JJ00";"326966"
"89";"A028200";"10000";"PV22  ";"2015JJ00";"328674"
"90";"A028200";"10000";"PV22  ";"2016JJ00";"330500"
"91";"A028200";"10000";"PV22  ";"2017JJ00";"332486"
"92";"A028200";"10000";"PV22  ";"2018JJ00";"334567"
"93";"A028200";"10000";"PV22  ";"2019JJ00";"337381"
"94";"A028200";"10000";"PV22  ";"2020JJ00";"341036"
"95";"A028200";"10000";"PV22  ";"2021JJ00";"345345"
"96";"A028200";"10000";"PV22  ";"2022JJ00";"346484"
"97";"A028200";"10000";"PV22  ";"2023JJ00";"348890"
"98";"A028200";"10000";"PV22  ";"2024JJ00";"351370"
"99";"A028200";"10000";"PV23  ";"2014JJ00";"739676"
"100";"A028200";"10000";"PV23  ";"2015JJ00";"744877"
"101";"A028200";"10000";"PV23  ";"2016JJ00";"751616"
"102";"A028200";"10000";"PV23  ";"2017JJ00";"756490"
"103";"A028200";"10000";"PV23  ";"2018JJ00";"761082"
"104";"A028200";"10000";"PV23  ";"2019JJ00";"768109"
"105";"A028200";"10000";"PV23  ";"2020JJ00";"776834"
"106";"A028200";"10000";"PV23  ";"2021JJ00";"786316"
"107";"A028200";"10000";"PV23  ";"2022JJ00";"788137"
"108";"A028200";"10000";"PV23  ";"2023JJ00";"795175"
"109";"A028200";"10000";"PV23  ";"2024JJ00";"801852"
"110";"A028200";"10000";"PV24  ";"2014JJ00";"237637"
"111";"A028200";"10000";"PV24  ";"2015JJ00";"240297"
"112";"A028200";"10000";"PV24  ";"2016JJ00";"244507"
"113";"A028200";"10000";"PV24  ";"2017JJ00";"246928"
"114";"A028200";"10000";"PV24  ";"2018JJ00";"250172"
"115";"A028200";"10000";"PV24  ";"2019JJ00";"254298"
"116";"A028200";"10000";"PV24  ";"2020JJ00";"258549"
"117";"A028200";"10000";"PV24  ";"2021JJ00";"263373"
"118";"A028200";"10000";"PV24  ";"2022JJ00";"266660"
"119";"A028200";"10000";"PV24  ";"2023JJ00";"270599"
"120";"A028200";"10000";"PV24  ";"2024JJ00";"276088"
"121";"A028200";"10000";"PV25  ";"2014JJ00";"1316315"
"122";"A028200";"10000";"PV25  ";"2015JJ00";"1329440"
"123";"A028200";"10000";"PV25  ";"2016JJ00";"1344166"
"124";"A028200";"10000";"PV25  ";"2017JJ00";"1356242"
"125";"A028200";"10000";"PV25  ";"2018JJ00";"1368261"
"126";"A028200";"10000";"PV25  ";"2019JJ00";"1383904"
"127";"A028200";"10000";"PV25  ";"2020JJ00";"1401103"
"128";"A028200";"10000";"PV25  ";"2021JJ00";"1420109"
"129";"A028200";"10000";"PV25  ";"2022JJ00";"1424468"
"130";"A028200";"10000";"PV25  ";"2023JJ00";"1436872"
"131";"A028200";"10000";"PV25  ";"2024JJ00";"1453802"
"132";"A028200";"10000";"PV26  ";"2014JJ00";"789177"
"133";"A028200";"10000";"PV26  ";"2015JJ00";"797785"
"134";"A028200";"10000";"PV26  ";"2016JJ00";"812607"
"135";"A028200";"10000";"PV26  ";"2017JJ00";"821379"
"136";"A028200";"10000";"PV26  ";"2018JJ00";"830282"
"137";"A028200";"10000";"PV26  ";"2019JJ00";"840851"
"138";"A028200";"10000";"PV26  ";"2020JJ00";"876463"
"139";"A028200";"10000";"PV26  ";"2021JJ00";"887385"
"140";"A028200";"10000";"PV26  ";"2022JJ00";"888063"
"141";"A028200";"10000";"PV26  ";"2023JJ00";"896837"
"142";"A028200";"10000";"PV26  ";"2024JJ00";"908679"
"143";"A028200";"10000";"PV27  ";"2014JJ00";"1667459"
"144";"A028200";"10000";"PV27  ";"2015JJ00";"1685596"
"145";"A028200";"10000";"PV27  ";"2016JJ00";"1714633"
"146";"A028200";"10000";"PV27  ";"2017JJ00";"1730667"
"147";"A028200";"10000";"PV27  ";"2018JJ00";"1741461"
"148";"A028200";"10000";"PV27  ";"2019JJ00";"1755663"
"149";"A028200";"10000";"PV27  ";"2020JJ00";"1772245"
"150";"A028200";"10000";"PV27  ";"2021JJ00";"1792413"
"151";"A028200";"10000";"PV27  ";"2022JJ00";"1789827"
"152";"A028200";"10000";"PV27  ";"2023JJ00";"1800686"
"153";"A028200";"10000";"PV27  ";"2024JJ00";"1820344"
"154";"A028200";"10000";"PV28  ";"2014JJ00";"2136022"
"155";"A028200";"10000";"PV28  ";"2015JJ00";"2157820"
"156";"A028200";"10000";"PV28  ";"2016JJ00";"2191504"
"157";"A028200";"10000";"PV28  ";"2017JJ00";"2213368"
"158";"A028200";"10000";"PV28  ";"2018JJ00";"2234321"
"159";"A028200";"10000";"PV28  ";"2019JJ00";"2257342"
"160";"A028200";"10000";"PV28  ";"2020JJ00";"2261563"
"161";"A028200";"10000";"PV28  ";"2021JJ00";"2290199"
"162";"A028200";"10000";"PV28  ";"2022JJ00";"2288411"
"163";"A028200";"10000";"PV28  ";"2023JJ00";"2302606"
"164";"A028200";"10000";"PV28  ";"2024JJ00";"2330567"
"165";"A028200";"10000";"PV29  ";"2014JJ00";"250236"
"166";"A028200";"10000";"PV29  ";"2015JJ00";"252092"
"167";"A028200";"10000";"PV29  ";"2016JJ00";"254046"
"168";"A028200";"10000";"PV29  ";"2017JJ00";"255347"
"169";"A028200";"10000";"PV29  ";"2018JJ00";"256541"
"170";"A028200";"10000";"PV29  ";"2019JJ00";"258299"
"171";"A028200";"10000";"PV29  ";"2020JJ00";"260235"
"172";"A028200";"10000";"PV29  ";"2021JJ00";"263684"
"173";"A028200";"10000";"PV29  ";"2022JJ00";"263570"
"174";"A028200";"10000";"PV29  ";"2023JJ00";"265040"
"175";"A028200";"10000";"PV29  ";"2024JJ00";"266281"
"176";"A028200";"10000";"PV30  ";"2014JJ00";"1646258"
"177";"A028200";"10000";"PV30  ";"2015JJ00";"1661340"
"178";"A028200";"10000";"PV30  ";"2016JJ00";"1680392"
"179";"A028200";"10000";"PV30  ";"2017JJ00";"1693626"
"180";"A028200";"10000";"PV30  ";"2018JJ00";"1706960"
"181";"A028200";"10000";"PV30  ";"2019JJ00";"1723431"
