"WijkenEnBuurten","Gemeentenaam_1"
"NL00      ","Nederland                               "
"GM1680    ","Aa en Hunze                             "
"WK168000  ","Aa en Hunze                             "
"BU16800000","Aa en Hunze                             "
"BU16800009","Aa en Hunze                             "
"WK168001  ","Aa en Hunze                             "
"BU16800100","Aa en Hunze                             "
"BU16800109","Aa en Hunze                             "
"WK168002  ","Aa en Hunze                             "
"BU16800200","Aa en Hunze                             "
"BU16800209","Aa en Hunze                             "
"WK168003  ","Aa en Hunze                             "
"BU16800300","Aa en Hunze                             "
"BU16800309","Aa en Hunze                             "
"WK168004  ","Aa en Hunze                             "
"BU16800400","Aa en Hunze                             "
"BU16800409","Aa en Hunze                             "
"WK168005  ","Aa en Hunze                             "
"BU16800500","Aa en Hunze                             "
"BU16800509","Aa en Hunze                             "
"WK168006  ","Aa en Hunze                             "
"BU16800600","Aa en Hunze                             "
"BU16800609","Aa en Hunze                             "
"WK168007  ","Aa en Hunze                             "
"BU16800700","Aa en Hunze                             "
"BU16800709","Aa en Hunze                             "
"WK168008  ","Aa en Hunze                             "
"BU16800800","Aa en Hunze                             "
"BU16800809","Aa en Hunze                             "
"WK168009  ","Aa en Hunze                             "
"BU16800900","Aa en Hunze                             "
"BU16800909","Aa en Hunze                             "
"WK168011  ","Aa en Hunze                             "
"BU16801100","Aa en Hunze                             "
"BU16801109","Aa en Hunze                             "
"WK168012  ","Aa en Hunze                             "
"BU16801200","Aa en Hunze                             "
"BU16801209","Aa en Hunze                             "
"WK168013  ","Aa en Hunze                             "
"BU16801300","Aa en Hunze                             "
"BU16801309","Aa en Hunze                             "
"WK168014  ","Aa en Hunze                             "
"BU16801400","Aa en Hunze                             "
"BU16801401","Aa en Hunze                             "
"BU16801409","Aa en Hunze                             "
"WK168015  ","Aa en Hunze                             "
"BU16801500","Aa en Hunze                             "
"BU16801501","Aa en Hunze                             "
"BU16801509","Aa en Hunze                             "
"WK168016  ","Aa en Hunze                             "
"BU16801600","Aa en Hunze                             "
"BU16801601","Aa en Hunze                             "
"BU16801609","Aa en Hunze                             "
"WK168017  ","Aa en Hunze                             "
"BU16801700","Aa en Hunze                             "
"BU16801709","Aa en Hunze                             "
"WK168018  ","Aa en Hunze                             "
"BU16801800","Aa en Hunze                             "
"BU16801801","Aa en Hunze                             "
"BU16801802","Aa en Hunze                             "
"BU16801809","Aa en Hunze                             "
"WK168019  ","Aa en Hunze                             "
"BU16801900","Aa en Hunze                             "
"BU16801901","Aa en Hunze                             "
"BU16801902","Aa en Hunze                             "
"BU16801903","Aa en Hunze                             "
"BU16801908","Aa en Hunze                             "
"BU16801909","Aa en Hunze                             "
"WK168020  ","Aa en Hunze                             "
"BU16802000","Aa en Hunze                             "
"BU16802001","Aa en Hunze                             "
"BU16802008","Aa en Hunze                             "
"BU16802009","Aa en Hunze                             "
"WK168021  ","Aa en Hunze                             "
"BU16802100","Aa en Hunze                             "
"BU16802101","Aa en Hunze                             "
"BU16802109","Aa en Hunze                             "
"GM0358    ","Aalsmeer                                "
"WK035800  ","Aalsmeer                                "
"BU03580000","Aalsmeer                                "
"BU03580001","Aalsmeer                                "
"BU03580004","Aalsmeer                                "
"BU03580005","Aalsmeer                                "
"WK035801  ","Aalsmeer                                "
"BU03580100","Aalsmeer                                "
"WK035802  ","Aalsmeer                                "
"BU03580200","Aalsmeer                                "
"BU03580201","Aalsmeer                                "
"BU03580205","Aalsmeer                                "
"BU03580206","Aalsmeer                                "
"GM0197    ","Aalten                                  "
"WK019701  ","Aalten                                  "
"BU01970101","Aalten                                  "
"BU01970102","Aalten                                  "
"BU01970103","Aalten                                  "
"BU01970104","Aalten                                  "
"BU01970105","Aalten                                  "
"BU01970106","Aalten                                  "
"BU01970107","Aalten                                  "
"BU01970108","Aalten                                  "
"BU01970109","Aalten                                  "
"BU01970110","Aalten                                  "
"BU01970111","Aalten                                  "
"BU01970112","Aalten                                  "
"WK019702  ","Aalten                                  "
"BU01970201","Aalten                                  "
"BU01970202","Aalten                                  "
"BU01970203","Aalten                                  "
"BU01970204","Aalten                                  "
"WK019703  ","Aalten                                  "
"BU01970301","Aalten                                  "
"BU01970302","Aalten                                  "
"BU01970303","Aalten                                  "
"BU01970304","Aalten                                  "
"BU01970305","Aalten                                  "
"BU01970306","Aalten                                  "
"BU01970307","Aalten                                  "
"WK019704  ","Aalten                                  "
"BU01970400","Aalten                                  "
"BU01970401","Aalten                                  "
"BU01970402","Aalten                                  "
