"LeeftijdsklasseVoertuig","Perioden","TotaalMotorvoertuigen_1","Personenauto_2","TotaalBedrijfsvoertuigen_3","TotaalBedrijfsmotorvoertuigen_4","Bestelauto_5","VrachtautoExclTrekkerVoorOplegger_6","TrekkerVoorOplegger_7","SpeciaalVoertuig_8","Bus_9","TotaalAanhangwagensEnOpleggers_10","Aanhangwagen_11","Oplegger_12","Motorfiets_13"
"10000  ","2024JJ00",12255576,9067393,2484868,1218693,1006477,61521,86457,55563,8675,1266175,1077996,188179,703315
"A028285","2024JJ00",499485,359863,123355,81165,65270,4678,9365,1470,382,42190,29590,12600,16267
"51200  ","2024JJ00",1028746,748824,248556,152409,128143,6337,14695,2708,526,96147,68607,27540,31366
"51400  ","2024JJ00",1245371,958445,253435,169008,141577,8361,14420,3099,1551,84427,62952,21475,33491
"51500  ","2024JJ00",1296086,992170,268811,182603,152279,8532,17500,2883,1409,86208,58534,27674,35105
"51700  ","2024JJ00",1155167,905585,214380,143460,120294,6817,12723,2481,1145,70920,49088,21832,35202
"A028286","2024JJ00",1603349,1333827,224734,142724,124771,6331,7357,2715,1550,82010,63637,18373,44788
"80007  ","2024JJ00",1578626,1328847,198070,107339,94839,5652,3181,2674,993,90731,78325,12406,51709
"70400  ","2024JJ00",1941132,1498456,331504,132049,115830,6258,4164,5191,606,199455,174842,24613,111172
"70500  ","2024JJ00",911537,584315,229155,49676,34948,2984,1291,10291,162,179479,168741,10738,98067
"20700  ","2024JJ00",996077,357061,392868,58260,28526,5571,1761,22051,351,334608,323680,10928,246148
