"RegioS","Perioden","TotaalWegvoertuigen_1","Personenauto_2","TotaalBedrijfsvoertuigen_3","TotaalBedrijfsmotorvoertuigen_4","Bestelauto_5","VrachtautoExclTrekkerVoorOplegger_6","TrekkerVoorOplegger_7","SpeciaalVoertuig_8","Bus_9","TotaalAanhangwagensEnOpleggers_10","Aanhangwagen_11","Oplegger_12","Motorfiets_13","AlleVoertuigenMetBromfietskenteken_14","Snorfiets_15","Bromfiets_16","Brommobiel_17","OverigeVoertuigenMetBromfietskenteken_18","LandsdeelCode_19","ProvincieCode_20","CoropgebiedCode_21","Gemeentecode_22","Naam_23","GemeenteGrootteklasseCode_24","StedelijkheidVanGemeentenCode_25"
"GM1680","2022JJ00",24268,15294,5675,2131,1780,91,124,134,2,3544,3366,178,1793,1506,719,747,35,5,1,22,7,1680,"Aa en Hunze                             ",4,5
"GM0358","2022JJ00",26414,17101,4654,2349,1917,175,198,44,15,2305,2006,299,1442,3217,1468,1709,33,7,3,27,23,358,"Aalsmeer                                ",4,4
"GM0197","2022JJ00",22475,14689,4746,1991,1745,88,54,102,2,2755,2684,71,1442,1598,893,659,36,10,2,25,14,197,"Aalten                                  ",4,4
"GM0059","2022JJ00",26108,15159,6705,2963,2498,142,142,157,24,3742,3563,179,1299,2945,1513,1364,61,7,1,21,4,59,"Achtkarspelen                           ",4,5
"GM0482","2022JJ00",14533,9347,3364,1748,1186,79,417,38,28,1616,1122,494,629,1193,644,522,18,9,3,28,30,482,"Alblasserdam                            ",4,2
"GM0613","2022JJ00",18160,12845,2449,1164,897,48,138,77,4,1285,1175,110,1010,1856,1253,576,22,5,3,28,29,613,"Albrandswaard                           ",4,3
"GM0361","2022JJ00",84491,58341,13331,7789,6231,473,309,757,19,5542,5052,490,4500,8319,5358,2825,110,26,3,27,19,361,"Alkmaar                                 ",6,2
"GM0141","2022JJ00",53678,35811,10070,4541,3744,195,418,180,4,5529,4469,1060,2541,5256,4012,1162,72,10,2,23,12,141,"Almelo                                  ",5,2
"GM0034","2022JJ00",319521,257853,40032,33178,31817,653,351,341,16,6854,6450,404,7184,14452,11575,2765,81,31,2,24,40,34,"Almere                                  ",7,2
"GM0484","2022JJ00",84644,54902,16350,7606,6141,548,643,249,25,8744,7428,1316,4890,8502,5415,2955,104,28,3,28,28,484,"Alphen aan den Rijn                     ",6,2
"GM1723","2022JJ00",10247,6396,2396,1076,950,54,28,44,0,1320,1276,44,662,793,356,419,14,4,4,30,34,1723,"AlphenChaam                             ",3,5
"GM1959","2022JJ00",50233,30498,12921,6125,4792,407,660,255,11,6796,5866,930,2314,4500,2642,1739,102,17,4,30,34,1959,"Altena                                  ",5,4
"GM0060","2022JJ00",3720,1986,863,475,405,35,16,19,0,388,364,24,320,551,388,152,7,4,1,21,4,60,"Ameland                                 ",1,5
"GM0307","2022JJ00",165535,124215,25033,18740,17120,333,277,399,611,6293,5968,325,5568,10719,8114,2470,102,33,3,26,17,307,"Amersfoort                              ",7,2
"GM0362","2022JJ00",50062,38710,4202,2432,2083,133,93,105,18,1770,1657,113,2054,5096,2498,2510,71,17,3,27,23,362,"Amstelveen                              ",5,1
"GM0363","2022JJ00",347723,246065,34021,23769,20761,946,706,1073,283,10252,9092,1160,19052,48585,25303,21758,1267,257,3,27,23,363,"Amsterdam                               ",8,1
"GM0200","2022JJ00",126183,83796,22780,10757,8402,935,608,772,40,12023,11063,960,6886,12721,10316,2231,130,44,2,25,13,200,"Apeldoorn                               ",7,2
"GM0003","2022JJ00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"                                        ",NA,NA
"GM0202","2022JJ00",95866,68571,10801,6132,4638,601,175,714,4,4669,4483,186,4344,12150,9519,2500,106,25,2,25,15,202,"Arnhem                                  ",7,2
"GM0106","2022JJ00",49494,34112,7807,3299,2618,170,206,262,43,4508,4200,308,3390,4185,2981,1147,46,11,1,22,7,106,"Assen                                   ",5,2
"GM0743","2022JJ00",15389,9416,4209,1883,1455,96,262,70,0,2326,1795,531,731,1033,662,347,21,3,4,30,36,743,"Asten                                   ",3,3
"GM0744","2022JJ00",6829,4263,1661,789,669,37,43,36,4,872,829,43,347,558,336,210,11,1,4,30,34,744,"BaarleNassau                            ",2,5
"GM0308","2022JJ00",16921,12442,2123,1006,917,23,22,39,5,1117,1092,25,929,1427,859,529,35,4,3,26,17,308,"Baarn                                   ",4,2
"GM0489","2022JJ00",36229,23933,6862,3214,2308,275,549,74,8,3648,2308,1340,1585,3849,2778,1031,29,11,3,28,29,489,"Barendrecht                             ",4,2
"GM0203","2022JJ00",52719,30032,15841,7372,5821,373,822,311,45,8469,6777,1692,2753,4093,2338,1613,127,15,2,25,13,203,"Barneveld                               ",5,4
"GM0888","2022JJ00",13547,9543,2092,970,794,57,67,51,1,1122,996,126,747,1165,711,432,19,3,4,31,39,888,"Beek                                    ",3,4
"GM1954","2022JJ00",31905,21986,5341,2395,2037,148,105,104,1,2946,2793,153,1952,2626,1632,926,57,11,4,31,39,1954,"Beekdaelen                              ",4,4
"GM0370","2022JJ00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"                                        ",NA,NA
