"Rijbewijscategorie","LeeftijdRijbewijshouder","RegioS","Perioden","PersonenMetRijbewijs_1"
"Auto_totaal","Totaal","PV20  ","2023JJ00",383411
"Auto_totaal","Totaal","PV21  ","2023JJ00",442244
"Auto_totaal","Totaal","PV22  ","2023JJ00",348890
"Auto_totaal","Totaal","PV23  ","2023JJ00",795175
"Auto_totaal","Totaal","PV24  ","2023JJ00",270599
"Auto_totaal","Totaal","PV25  ","2023JJ00",1436872
"Auto_totaal","Totaal","PV26  ","2023JJ00",896837
"Auto_totaal","Totaal","PV27  ","2023JJ00",1800686
"Auto_totaal","Totaal","PV28  ","2023JJ00",2302606
"Auto_totaal","Totaal","PV29  ","2023JJ00",265040
"Auto_totaal","Totaal","PV30  ","2023JJ00",1779383
"Auto_totaal","Totaal","PV31  ","2023JJ00",762203
"Auto_totaal","Totaal","PV99  ","2023JJ00",44530
"Auto_totaal","16-18","PV20  ","2023JJ00",332
"Auto_totaal","16-18","PV21  ","2023JJ00",534
"Auto_totaal","16-18","PV22  ","2023JJ00",487
"Auto_totaal","16-18","PV23  ","2023JJ00",1115
"Auto_totaal","16-18","PV24  ","2023JJ00",367
"Auto_totaal","16-18","PV25  ","2023JJ00",1755
"Auto_totaal","16-18","PV26  ","2023JJ00",1119
"Auto_totaal","16-18","PV27  ","2023JJ00",1839
"Auto_totaal","16-18","PV28  ","2023JJ00",2136
"Auto_totaal","16-18","PV29  ","2023JJ00",463
"Auto_totaal","16-18","PV30  ","2023JJ00",2102
"Auto_totaal","16-18","PV31  ","2023JJ00",948
"Auto_totaal","16-18","PV99  ","2023JJ00",0
"Auto_totaal","18-20","PV20  ","2023JJ00",6144
"Auto_totaal","18-20","PV21  ","2023JJ00",7358
"Auto_totaal","18-20","PV22  ","2023JJ00",5752
"Auto_totaal","18-20","PV23  ","2023JJ00",14370
"Auto_totaal","18-20","PV24  ","2023JJ00",4278
"Auto_totaal","18-20","PV25  ","2023JJ00",24014
"Auto_totaal","18-20","PV26  ","2023JJ00",14331
"Auto_totaal","18-20","PV27  ","2023JJ00",24094
"Auto_totaal","18-20","PV28  ","2023JJ00",32767
"Auto_totaal","18-20","PV29  ","2023JJ00",4337
"Auto_totaal","18-20","PV30  ","2023JJ00",28939
"Auto_totaal","18-20","PV31  ","2023JJ00",11782
"Auto_totaal","18-20","PV99  ","2023JJ00",8
"Auto_totaal","20-25","PV20  ","2023JJ00",33314
"Auto_totaal","20-25","PV21  ","2023JJ00",29190
"Auto_totaal","20-25","PV22  ","2023JJ00",20612
"Auto_totaal","20-25","PV23  ","2023JJ00",57783
"Auto_totaal","20-25","PV24  ","2023JJ00",17530
"Auto_totaal","20-25","PV25  ","2023JJ00",101190
"Auto_totaal","20-25","PV26  ","2023JJ00",64197
"Auto_totaal","20-25","PV27  ","2023JJ00",112109
"Auto_totaal","20-25","PV28  ","2023JJ00",159122
"Auto_totaal","20-25","PV29  ","2023JJ00",15935
"Auto_totaal","20-25","PV30  ","2023JJ00",122048
"Auto_totaal","20-25","PV31  ","2023JJ00",47475
"Auto_totaal","20-25","PV99  ","2023JJ00",221
"Auto_totaal","25-30","PV20  ","2023JJ00",32111
"Auto_totaal","25-30","PV21  ","2023JJ00",29699
"Auto_totaal","25-30","PV22  ","2023JJ00",19674
"Auto_totaal","25-30","PV23  ","2023JJ00",59469
"Auto_totaal","25-30","PV24  ","2023JJ00",20137
"Auto_totaal","25-30","PV25  ","2023JJ00",104132
"Auto_totaal","25-30","PV26  ","2023JJ00",75880
"Auto_totaal","25-30","PV27  ","2023JJ00",143508
"Auto_totaal","25-30","PV28  ","2023JJ00",184211
"Auto_totaal","25-30","PV29  ","2023JJ00",16849
"Auto_totaal","25-30","PV30  ","2023JJ00",131930
"Auto_totaal","25-30","PV31  ","2023JJ00",49271
"Auto_totaal","25-30","PV99  ","2023JJ00",1511
"Auto_totaal","30-40","PV20  ","2023JJ00",57069
"Auto_totaal","30-40","PV21  ","2023JJ00",62683
"Auto_totaal","30-40","PV22  ","2023JJ00",46489
"Auto_totaal","30-40","PV23  ","2023JJ00",123254
"Auto_totaal","30-40","PV24  ","2023JJ00",50656
"Auto_totaal","30-40","PV25  ","2023JJ00",214723
"Auto_totaal","30-40","PV26  ","2023JJ00",161363
"Auto_totaal","30-40","PV27  ","2023JJ00",319305
"Auto_totaal","30-40","PV28  ","2023JJ00",401091
"Auto_totaal","30-40","PV29  ","2023JJ00",36752
"Auto_totaal","30-40","PV30  ","2023JJ00",277713
"Auto_totaal","30-40","PV31  ","2023JJ00",107524
"Auto_totaal","30-40","PV99  ","2023JJ00",8789
"Auto_totaal","40-50","PV20  ","2023JJ00",55722
"Auto_totaal","40-50","PV21  ","2023JJ00",66579
"Auto_totaal","40-50","PV22  ","2023JJ00",52038
"Auto_totaal","40-50","PV23  ","2023JJ00",125727
"Auto_totaal","40-50","PV24  ","2023JJ00",47047
"Auto_totaal","40-50","PV25  ","2023JJ00",219488
"Auto_totaal","40-50","PV26  ","2023JJ00",151057
"Auto_totaal","40-50","PV27  ","2023JJ00",301551
"Auto_totaal","40-50","PV28  ","2023JJ00",385265
"Auto_totaal","40-50","PV29  ","2023JJ00",39043
"Auto_totaal","40-50","PV30  ","2023JJ00",275843
"Auto_totaal","40-50","PV31  ","2023JJ00",106477
"Auto_totaal","40-50","PV99  ","2023JJ00",11107
"Auto_totaal","50-60","PV20  ","2023JJ00",72516
"Auto_totaal","50-60","PV21  ","2023JJ00",89466
"Auto_totaal","50-60","PV22  ","2023JJ00",71569
"Auto_totaal","50-60","PV23  ","2023JJ00",155464
"Auto_totaal","50-60","PV24  ","2023JJ00",54825
"Auto_totaal","50-60","PV25  ","2023JJ00",287459
"Auto_totaal","50-60","PV26  ","2023JJ00",171545
"Auto_totaal","50-60","PV27  ","2023JJ00",351691
"Auto_totaal","50-60","PV28  ","2023JJ00",445002
"Auto_totaal","50-60","PV29  ","2023JJ00",53194
"Auto_totaal","50-60","PV30  ","2023JJ00",351674
"Auto_totaal","50-60","PV31  ","2023JJ00",152397
"Auto_totaal","50-60","PV99  ","2023JJ00",12550
"Auto_totaal","60-65","PV20  ","2023JJ00",34381
"Auto_totaal","60-65","PV21  ","2023JJ00",41972
"Auto_totaal","60-65","PV22  ","2023JJ00",34783
"Auto_totaal","60-65","PV23  ","2023JJ00",71433
"Auto_totaal","60-65","PV24  ","2023JJ00",24720
"Auto_totaal","60-65","PV25  ","2023JJ00",134984
"Auto_totaal","60-65","PV26  ","2023JJ00",74340
"Auto_totaal","60-65","PV27  ","2023JJ00",156365
"Auto_totaal","60-65","PV28  ","2023JJ00",199312
"Auto_totaal","60-65","PV29  ","2023JJ00",25099
"Auto_totaal","60-65","PV30  ","2023JJ00",165081
"Auto_totaal","60-65","PV31  ","2023JJ00",79823
"Auto_totaal","60-65","PV99  ","2023JJ00",4701
"Auto_totaal","65-70","PV20  ","2023JJ00",30831
"Auto_totaal","65-70","PV21  ","2023JJ00",37663
"Auto_totaal","65-70","PV22  ","2023JJ00",31804
"Auto_totaal","65-70","PV23  ","2023JJ00",61891
"Auto_totaal","65-70","PV24  ","2023JJ00",19981
"Auto_totaal","65-70","PV25  ","2023JJ00",116370
"Auto_totaal","65-70","PV26  ","2023JJ00",61518
"Auto_totaal","65-70","PV27  ","2023JJ00",129090
"Auto_totaal","65-70","PV28  ","2023JJ00",167459
"Auto_totaal","65-70","PV29  ","2023JJ00",23485
"Auto_totaal","65-70","PV30  ","2023JJ00",140079
"Auto_totaal","65-70","PV31  ","2023JJ00",69728
"Auto_totaal","65-70","PV99  ","2023JJ00",3011
"Auto_totaal","70-75","PV20  ","2023JJ00",26705
"Auto_totaal","70-75","PV21  ","2023JJ00",32730
"Auto_totaal","70-75","PV22  ","2023JJ00",28005
"Auto_totaal","70-75","PV23  ","2023JJ00",53730
"Auto_totaal","70-75","PV24  ","2023JJ00",15192
"Auto_totaal","70-75","PV25  ","2023JJ00",101794
"Auto_totaal","70-75","PV26  ","2023JJ00",53055
"Auto_totaal","70-75","PV27  ","2023JJ00",114186
"Auto_totaal","70-75","PV28  ","2023JJ00",144813
"Auto_totaal","70-75","PV29  ","2023JJ00",20931
"Auto_totaal","70-75","PV30  ","2023JJ00",125139
"Auto_totaal","70-75","PV31  ","2023JJ00",61093
"Auto_totaal","70-75","PV99  ","2023JJ00",1965
"Auto_totaal","75+","PV20  ","2023JJ00",34286
"Auto_totaal","75+","PV21  ","2023JJ00",44370
"Auto_totaal","75+","PV22  ","2023JJ00",37677
"Auto_totaal","75+","PV23  ","2023JJ00",70939
"Auto_totaal","75+","PV24  ","2023JJ00",15866
"Auto_totaal","75+","PV25  ","2023JJ00",130963
"Auto_totaal","75+","PV26  ","2023JJ00",68432
"Auto_totaal","75+","PV27  ","2023JJ00",146948
"Auto_totaal","75+","PV28  ","2023JJ00",181428
"Auto_totaal","75+","PV29  ","2023JJ00",28952
"Auto_totaal","75+","PV30  ","2023JJ00",158835
"Auto_totaal","75+","PV31  ","2023JJ00",75685
"Auto_totaal","75+","PV99  ","2023JJ00",667
"Auto_totaal","onbekend","PV20  ","2023JJ00",0
"Auto_totaal","onbekend","PV21  ","2023JJ00",0
"Auto_totaal","onbekend","PV22  ","2023JJ00",0
"Auto_totaal","onbekend","PV23  ","2023JJ00",0
"Auto_totaal","onbekend","PV24  ","2023JJ00",0
"Auto_totaal","onbekend","PV25  ","2023JJ00",0
"Auto_totaal","onbekend","PV26  ","2023JJ00",0
"Auto_totaal","onbekend","PV27  ","2023JJ00",0
"Auto_totaal","onbekend","PV28  ","2023JJ00",0
"Auto_totaal","onbekend","PV29  ","2023JJ00",0
"Auto_totaal","onbekend","PV30  ","2023JJ00",0
"Auto_totaal","onbekend","PV31  ","2023JJ00",0
"Auto_totaal","onbekend","PV99  ","2023JJ00",0
"Auto_ex_aanhanger","Totaal","PV20  ","2023JJ00",228199
"Auto_ex_aanhanger","Totaal","PV21  ","2023JJ00",242789
"Auto_ex_aanhanger","Totaal","PV22  ","2023JJ00",179323
"Auto_ex_aanhanger","Totaal","PV23  ","2023JJ00",456361
"Auto_ex_aanhanger","Totaal","PV24  ","2023JJ00",182671
"Auto_ex_aanhanger","Totaal","PV25  ","2023JJ00",835097
"Auto_ex_aanhanger","Totaal","PV26  ","2023JJ00",601216
"Auto_ex_aanhanger","Totaal","PV27  ","2023JJ00",1211353
"Auto_ex_aanhanger","Totaal","PV28  ","2023JJ00",1535770
"Auto_ex_aanhanger","Totaal","PV29  ","2023JJ00",141424
"Auto_ex_aanhanger","Totaal","PV30  ","2023JJ00",1057136
"Auto_ex_aanhanger","Totaal","PV31  ","2023JJ00",432033
"Auto_ex_aanhanger","Totaal","PV99  ","2023JJ00",33547
"Auto_ex_aanhanger","16-18","PV20  ","2023JJ00",332
"Auto_ex_aanhanger","16-18","PV21  ","2023JJ00",534
"Auto_ex_aanhanger","16-18","PV22  ","2023JJ00",487
"Auto_ex_aanhanger","16-18","PV23  ","2023JJ00",1115
"Auto_ex_aanhanger","16-18","PV24  ","2023JJ00",367
"Auto_ex_aanhanger","16-18","PV25  ","2023JJ00",1755
"Auto_ex_aanhanger","16-18","PV26  ","2023JJ00",1119
"Auto_ex_aanhanger","16-18","PV27  ","2023JJ00",1839
"Auto_ex_aanhanger","16-18","PV28  ","2023JJ00",2136
"Auto_ex_aanhanger","16-18","PV29  ","2023JJ00",463
"Auto_ex_aanhanger","16-18","PV30  ","2023JJ00",2102
"Auto_ex_aanhanger","16-18","PV31  ","2023JJ00",948
"Auto_ex_aanhanger","16-18","PV99  ","2023JJ00",0
"Auto_ex_aanhanger","18-20","PV20  ","2023JJ00",5951
"Auto_ex_aanhanger","18-20","PV21  ","2023JJ00",7154
"Auto_ex_aanhanger","18-20","PV22  ","2023JJ00",5571
"Auto_ex_aanhanger","18-20","PV23  ","2023JJ00",13867
"Auto_ex_aanhanger","18-20","PV24  ","2023JJ00",4209
"Auto_ex_aanhanger","18-20","PV25  ","2023JJ00",23296
"Auto_ex_aanhanger","18-20","PV26  ","2023JJ00",14073
"Auto_ex_aanhanger","18-20","PV27  ","2023JJ00",23808
"Auto_ex_aanhanger","18-20","PV28  ","2023JJ00",32377
"Auto_ex_aanhanger","18-20","PV29  ","2023JJ00",4208
"Auto_ex_aanhanger","18-20","PV30  ","2023JJ00",28375
"Auto_ex_aanhanger","18-20","PV31  ","2023JJ00",11598
"Auto_ex_aanhanger","18-20","PV99  ","2023JJ00",8
"Auto_ex_aanhanger","20-25","PV20  ","2023JJ00",31550
"Auto_ex_aanhanger","20-25","PV21  ","2023JJ00",26920
"Auto_ex_aanhanger","20-25","PV22  ","2023JJ00",18698
"Auto_ex_aanhanger","20-25","PV23  ","2023JJ00",53118
"Auto_ex_aanhanger","20-25","PV24  ","2023JJ00",16764
